District,Average Evapotranspiration,Year,Month,Total Evaporation
7,2.0,2021,5,62.0
7,2.48,2021,6,74.4
7,3.94,2021,7,122.14
7,4.03,2021,8,124.93
7,4.26,2021,9,127.8
7,4.27,2021,10,132.37
7,1.52,2021,12,47.12
7,0.87,2022,1,26.97
7,0.62,2022,2,17.36
7,0.56,2022,3,17.36
7,0.61,2022,4,18.3
7,1.81,2022,5,56.11
7,3.11,2022,6,93.3
7,3.91,2022,7,121.21
7,4.27,2022,8,132.37
7,4.28,2022,9,128.4
7,4.05,2022,10,125.55
7,1.6,2022,11,48.0
7,1.22,2022,12,37.82
7,0.88,2023,1,27.28
7,0.45,2023,2,12.6
7,1.47,2023,3,45.57
7,1.19,2023,4,35.7
7,2.53,2023,5,78.43
7,2.62,2023,6,78.6
7,3.98,2023,7,123.38
7,3.67,2023,8,113.77
7,4.11,2023,9,123.3
7,1.95,2023,10,60.45
7,1.16,2023,11,34.8
7,1.98,2023,12,61.38
7,0.77,2024,1,23.87
7,0.41,2024,2,11.89
7,0.33,2024,3,10.23
7,0.23,2024,4,6.9
7,1.66,2024,5,51.46
7,3.39,2024,6,101.7
7,3.65,2024,7,113.15
7,4.58,2024,8,141.98
7,4.69,2024,9,140.7
7,4.73,2024,10,146.63
9,3.33,2018,7,103.23
9,2.86,2018,8,88.66
9,2.81,2018,9,84.3
9,2.24,2018,10,69.44
9,1.26,2018,11,37.8
9,0.84,2018,12,26.04
9,1.04,2019,1,32.24
9,0.85,2019,2,23.8
9,0.47,2019,3,14.57
9,0.63,2019,4,18.9
9,0.76,2019,5,23.56
9,1.68,2019,6,50.4
9,3.42,2019,7,106.02
9,3.81,2019,8,118.11
9,3.24,2019,9,97.2
9,2.72,2019,10,84.32
9,1.94,2019,11,58.2
9,1.36,2019,12,42.16
9,0.6,2020,1,18.6
9,0.23,2020,2,6.67
9,0.27,2020,3,8.37
9,0.73,2020,4,21.9
9,1.46,2020,5,45.26
9,3.29,2020,6,98.7
9,3.97,2020,7,123.07
9,3.39,2020,8,105.09
9,3.36,2020,9,100.8
9,3.81,2020,10,118.11
9,2.23,2020,11,66.9
9,1.48,2020,12,45.88
9,0.79,2021,1,24.49
9,0.41,2021,2,11.48
9,0.41,2021,3,12.71
9,0.46,2021,4,13.8
9,1.15,2021,5,35.65
9,2.09,2021,6,62.7
9,3.74,2021,7,115.94
9,3.88,2021,8,120.28
9,4.16,2021,9,124.8
9,3.81,2021,10,118.11
9,1.33,2021,12,41.23
9,0.6,2022,1,18.6
9,0.43,2022,2,12.04
9,0.34,2022,3,10.54
9,0.18,2022,4,5.4
9,1.35,2022,5,41.85
9,1.94,2022,6,58.2
9,3.6,2022,7,111.6
9,3.95,2022,8,122.45
9,3.52,2022,9,105.6
9,3.69,2022,10,114.39
9,1.64,2022,11,49.2
9,0.97,2022,12,30.07
9,0.43,2023,1,13.33
9,0.21,2023,2,5.88
9,0.79,2023,3,24.49
9,1.19,2023,4,35.7
9,1.94,2023,5,60.14
9,2.11,2023,6,63.3
9,3.26,2023,7,101.06
9,3.48,2023,8,107.88
9,3.95,2023,9,118.5
9,1.81,2023,10,56.11
9,1.17,2023,11,35.1
9,1.6,2023,12,49.6
9,0.64,2024,1,19.84
9,0.33,2024,2,9.57
9,0.17,2024,3,5.27
9,0.13,2024,4,3.9
9,1.5,2024,5,46.5
9,2.64,2024,6,79.2
9,3.3,2024,7,102.3
9,4.03,2024,8,124.93
9,4.28,2024,9,128.4
9,4.04,2024,10,125.24
13,2.91,2018,7,90.21
13,2.44,2018,8,75.64
13,2.34,2018,9,70.2
13,1.72,2018,10,53.32
13,1.0,2018,11,30.0
13,0.95,2018,12,29.45
13,1.3,2019,1,40.3
13,0.88,2019,2,24.64
13,0.36,2019,3,11.16
13,0.32,2019,4,9.6
13,0.47,2019,5,14.57
13,1.15,2019,6,34.5
13,2.78,2019,7,86.18
13,2.94,2019,8,91.14
13,2.51,2019,9,75.3
13,2.12,2019,10,65.72
13,1.62,2019,11,48.6
13,0.98,2019,12,30.38
13,0.58,2020,1,17.98
13,0.22,2020,2,6.38
13,0.28,2020,3,8.68
13,0.68,2020,4,20.4
13,1.36,2020,5,42.16
13,2.94,2020,6,88.2
13,3.19,2020,7,98.89
13,2.61,2020,8,80.91
13,2.69,2020,9,80.7
13,3.43,2020,10,106.33
13,1.91,2020,11,57.3
13,1.32,2020,12,40.92
13,0.8,2021,1,24.8
13,0.4,2021,2,11.2
13,0.3,2021,3,9.3
13,0.47,2021,4,14.1
13,1.17,2021,5,36.27
13,2.36,2021,6,70.8
13,3.54,2021,7,109.74
13,3.52,2021,8,109.12
13,3.64,2021,9,109.2
13,3.52,2021,10,109.12
13,1.11,2021,12,34.41
13,0.51,2022,1,15.81
13,0.31,2022,2,8.68
13,0.27,2022,3,8.37
13,0.14,2022,4,4.2
13,0.67,2022,5,20.77
13,1.76,2022,6,52.8
13,3.39,2022,7,105.09
13,3.51,2022,8,108.81
13,3.24,2022,9,97.2
13,3.35,2022,10,103.85
13,1.34,2022,11,40.2
13,0.83,2022,12,25.73
