District,Average Evapotranspiration,Year,Month,Total Evaporation
26,1.0,2020,5,31.0
26,3.09,2020,6,92.7
26,3.79,2020,7,117.49
26,3.97,2020,8,123.07
26,3.4,2020,9,102.0
26,3.23,2020,10,100.13
26,2.56,2020,11,76.8
26,1.93,2020,12,59.83
26,1.51,2021,1,46.81
26,1.04,2021,2,29.12
26,0.8,2021,3,24.8
26,0.77,2021,4,23.1
26,1.02,2021,5,31.62
26,2.2,2021,6,66.0
26,3.24,2021,7,100.44
26,3.0,2021,8,93.0
26,3.05,2021,9,91.5
26,2.85,2021,10,88.35
26,1.66,2021,12,51.46
26,0.83,2022,1,25.73
26,0.77,2022,2,21.56
26,0.63,2022,3,19.53
26,0.37,2022,4,11.1
26,1.72,2022,5,53.32
26,2.69,2022,6,80.7
26,2.63,2022,7,81.53
26,3.42,2022,8,106.02
26,2.9,2022,9,87.0
26,2.74,2022,10,84.94
26,1.96,2022,11,58.8
26,1.39,2022,12,43.09
26,0.76,2023,1,23.56
26,0.59,2023,2,16.52
26,0.89,2023,3,27.59
26,0.85,2023,4,25.5
26,1.49,2023,5,46.19
26,1.52,2023,6,45.6
26,2.22,2023,7,68.82
26,1.82,2023,8,56.42
26,2.84,2023,9,85.2
26,1.34,2023,10,41.54
26,0.96,2023,11,28.8
26,1.3,2023,12,40.3
26,0.61,2024,1,18.91
26,0.39,2024,2,11.31
26,0.21,2024,3,6.51
26,0.13,2024,4,3.9
26,1.18,2024,5,36.58
26,2.72,2024,6,81.6
26,2.7,2024,7,83.7
26,3.14,2024,8,97.34
26,2.8,2024,9,84.0
26,3.15,2024,10,97.65
