reservoir_id,predicted_score
1,21.857452652866126
2,17.14361448707871
4,27.04407253205191
5,10.0
6,43.68595373521897
7,32.897181729602394
8,16.170199868430515
9,51.01797531313529
10,14.895421561439555
11,44.04106635743478
12,44.04106612222094
14,21.857460337254544
16,43.68595326633091
17,43.68596575172135
18,43.68595504726028
20,21.857454313262377
21,44.579635849602155
22,90.0
1,18.684643071786777
2,14.631599305981673
4,35.54417894045276
5,10.059648317929078
6,41.50371906334374
7,31.3912676516335
8,11.00443195732618
9,48.929488322748085
10,10.31532549618136
11,42.028560132598116
12,42.0285584570713
14,18.684650005692728
16,41.5037213168721
17,41.503722205331954
18,41.50371434468392
20,18.684653194205605
21,41.50371925724968
22,76.80591842958472
