Built-Up,Agricultural,Forest,WasteLands,Wetlands,Waterbodies,Year,District
450.99031244808054,13416.961924097683,1796.1672324017966,2391.479149436495,0.14,1040.935433920421,2023,3
456.46646482290157,7701.0871554761725,4257.4118034290495,1878.0037547807642,1893.7073538587154,729.3506305305125,2023,6
523.1816466936735,6198.07199654819,4975.169324857084,279.72435483870964,146.83570108265118,861.2921202867949,2023,7
558.9674890131528,8235.01616948839,1565.9232836796696,486.21098914763314,26.166045709357476,524.490645876328,2023,9
581.2186309491547,6673.347056368449,629.0213440289817,142.94630431995895,208.67508838083307,516.7011445759446,2023,13
514.0748018260044,11461.116696270195,2997.04818825036,1928.6808468538634,2010.0398138552982,717.2068489204866,2023,10
468.29505717450985,7162.226983012444,2167.686825242674,1375.0019866040411,596.1771581989557,1442.316329176296,2023,20
393.8373712692102,10291.48509918011,4202.161184904732,1781.0370189307127,73.61002720348203,852.9803707789717,2023,18
163.10331213791153,4155.377078717202,631.9535069395723,482.83161586406766,72.51146747916926,339.1180037736961,2023,21
501.35648116667016,4739.9041433188395,4437.586155863814,1465.6918017476753,38.862610004426735,340.3149807521469,2023,23
223.24568181818182,4115.914789833962,1070.382187857395,412.6076640698037,2.009503030303031,312.50303491565325,2023,24
442.78826167495373,6171.807383659337,1332.0860340901613,83.54005676274946,151.49838699224628,315.04701116312566,2023,25
367.5697931239945,6559.054874221768,4917.94344182649,2608.0544032204766,3.83,899.3108326415821,2023,26
454.0928515040906,13415.044664609894,1795.3856364520211,2387.6302931160567,0.14,1042.6661131604737,2024,3
461.51977292576424,7704.050549910694,4257.10202885768,1870.90047412836,1887.4420230910548,729.8794593468265,2024,6
524.7068525303828,6198.628496116715,4974.017990464219,279.1511491935484,146.58016371798257,861.2561353226442,2024,7
561.889675139797,8236.039440674438,1566.2449441396284,483.4648627910873,25.23930142302716,524.5557266108691,2024,9
587.193459817799,6674.4679384145065,629.6190120326045,142.23959235995383,203.3307244284372,517.1500376479378,2024,13
