year,gross_capacity,current_storage,district_id,reservoir_id
2024,2.97,3.4038553,10,20
2024,10,5.573241,26,16
2024,0.61,2.8286924,21,10
2024,3.86,3.5018587,18,8
2024,68.03,35.710648,20,12
2024,9.98,4.634568,26,17
2024,312.05,202.6892,9,2
2024,6,4.4112577,26,18
2024,3.07,3.6282835,13,4
2024,78,51.32581,20,11
2024,215.81,138.60825,10,1
2024,4.96,3.8124285,23,7
2024,2.51,3.382968,24,9
2024,1.6,3.0252638,26,21
2024,16.95,7.593629,10,14
2024,24.11,9.021655,7,5
2024,0.31,2.7687216,3,22
